visitor_id,name,visit_date,entry_time,exit_time
1,Dr Gerard Wallace,2025-10-29,2025-10-29T11:01:40,2025-10-29T11:44:40
2,Miss Mandy Pratt,2025-10-25,2025-10-25T09:26:19,2025-10-25T12:15:19
3,Chloe Brown,2025-10-12,2025-10-12T16:48:44,2025-10-12T18:35:44
4,Mr Alex Oliver,2025-10-21,2025-10-21T11:25:49,2025-10-21T14:41:49
5,Mohammad Bradley,2025-11-03,2025-11-03T15:46:13,2025-11-03T19:31:13
6,Patrick Kelly,2025-11-06,2025-11-06T16:12:11,2025-11-06T18:50:11
7,Jake Poole,2025-11-23,2025-11-23T12:37:33,2025-11-23T13:42:33
8,Dr Barry Mills,2025-10-25,2025-10-25T15:31:47,2025-10-25T16:11:47
9,Mr Carl Hughes,2025-11-04,2025-11-04T13:39:20,2025-11-04T15:46:20
10,Katherine Brennan,2025-10-22,2025-10-22T14:48:01,2025-10-22T18:46:01
11,Ms Emily John,2025-09-25,2025-09-25T14:41:33,2025-09-25T17:05:33
12,Ms Marion Moss,2025-10-31,2025-10-31T14:13:51,2025-10-31T16:24:51
13,Dr Cheryl Craig,2025-10-01,2025-10-01T14:21:39,2025-10-01T16:50:39
14,Carl Jenkins-Dobson,2025-10-26,2025-10-26T10:42:42,2025-10-26T13:20:42
15,Dr Charlie Jones,2025-11-10,2025-11-10T11:54:25,2025-11-10T13:15:25
